,color_group,Color Box,Coat,hex_color,Horse Count,Genesis Count,Rarity
0,Unknown,Unknown,Fortune,#FFC834,1,1,100.0
1,Neptune,Super Rare,Aggressive Azure,#F0FFFF,43,43,5.0
2,Earth,Common,Dark Lava,#483C32,107,58,10.0
3,Earth,Common,Sienna,#3C1414,138,76,10.0
4,Mystical,Super Rare,Papaya Whip,#FFEFD5,142,139,5.0
5,Earth,Super Rare,Honeydew,#E0EEE0,149,146,5.0
6,Earth,Common,Copper Penny,#AD6F69,150,90,10.0
7,Wild,Super Rare,Gainsboro,#33CCCC,151,146,5.0
8,Earth,Common,Deep Taupe,#7E5E60,152,99,10.0
9,Mystical,Common,Cyclamen,#F56FA1,152,79,10.0
2,Earth,Common,Cinereous,#98817B,154,98,10.0
10,Earth,Common,Brown Sugar,#AF6E4D,154,99,10.0
12,Earth,Common,Field Drab,#6C541E,155,90,10.0
13,Earth,Common,Coyote Brown,#81613C,156,85,10.0
14,Mystical,Common,Oval Orchid,#DA70D6,157,92,9.0
15,Earth,Common,Champagne Papi,#F1DDCF,158,104,10.0
16,Fiery,Common,Fire Opal,#E95C4B,159,96,10.0
17,Classic,Super Rare,Cornsilk,#FFF8DC,160,151,5.0
18,Fiery,Common,Atomic Tangerine,#FF9966,161,79,9.0
19,Fiery,Super Rare,Peach Puff,#FFDAB9,161,154,5.0
21,Neptune,Common,Celestial Blue,#4997D0,162,85,10.0
20,Mystical,Common,Cinnamon Satin,#CD607E,162,83,10.0
22,Neptune,Common,Air Superiority Blue,#72A0C1,163,80,9.0
23,Fiery,Common,Burnt Umber,#8A3324,164,87,10.0
24,Neptune,Common,Egyptian Blue,#1034A6,166,86,10.0
25,Mystical,Common,Cotton Candy,#FFBCD9,166,84,10.0
26,Mystical,Common,Eminence,#6C3082,166,92,10.0
27,Classic,Common,Café Au Lait,#A67B5B,168,79,10.0
28,Mystical,Common,Mystic Maroon,#B03060,168,91,9.0
29,Mystical,Common,China Rose,#A8516E,168,94,10.0
30,Fiery,Common,Crimson Tide,#DC143C,169,87,10.0
31,Fiery,Common,Burnt Sienna,#E97451,169,86,10.0
32,Fiery,Common,English Vermillion,#CC474B,169,104,10.0
3,Wild,Common,Dartmouth Green,#00703C,171,100,10.0
34,Neptune,Common,Cerulean Frost,#6D9BC3,171,91,10.0
35,Fiery,Common,Fuzzy Wuzzy,#CC6666,172,90,10.0
37,Neptune,Common,Bleu De France,#318CE7,173,104,10.0
38,Wild,Common,AO,#008000,173,101,9.0
39,Mystical,Common,Fandango,#B53389,173,82,10.0
36,Mystical,Common,Thistle,#D8BFD8,173,101,9.0
1,Fiery,Common,Big Dip O’Ruby,#9C2542,175,97,9.0
41,Mystical,Common,Fiery Rose,#FF5470,176,93,10.0
42,Fiery,Common,Cinnabar,#E34234,176,98,10.0
43,Wild,Common,Cal Poly Pomona,#1E4D2B,176,107,10.0
44,Mystical,Common,Suave Mauve,#D473D4,176,95,10.0
45,Mystical,Common,Byzantine,#BD33A4,177,103,10.0
46,Mystical,Common,Byzantium,#702963,177,90,10.0
47,Classic,Common,Banana Mania,#FAE7B5,178,79,9.0
